,group,variable,value,articles
853,2016-10,2012,2,"Alcator C-Mod tokamak nuclear fusion reactor sets world record on final day of operation<br><br>Either stars are strange, or there are 234 aliens trying to contact us"
854,2016-10,2013,4,Futuristic Dubai dreams of hyperloop transit tubes<br><br>Did 40-year-old Viking experiment discover life on Mars?<br><br>Structure of key DNA replication protein solved<br><br>3-D printed metamaterial shrinks when heated
855,2016-10,2014,5,Mini 'Pepper' robots start new jobs in Taiwan<br><br>Tech giants race for edge in artificial intelligence<br><br>First launch for Orbital's Antares rocket since 2014 explosion<br><br>Did 40-year-old Viking experiment discover life on Mars?<br><br>Brazil mutant mosquitoes to breed out diseases
856,2016-10,2015,10,Saturn's moon Dione harbors a subsurface ocean<br><br>Germany conducting inquiry into Tesla autopilot system<br><br>Self-learning computer tackles problems beyond the reach of previous systems<br><br>Spacecraft 'nuclear batteries' could get a boost from new materials<br><br>Forever quantum: physicists demonstrate everlasting quantum coherence<br><br>First launch for Orbital's Antares rocket since 2014 explosion<br><br>Bacteria can make underground nuclear waste repositories safer<br><br>IEA hikes green energy forecast after 'turning point' year<br><br>Brazil mutant mosquitoes to breed out diseases<br><br>Enhancing the reliability of artificial intelligence
857,2016-10,2016,45,"Fighting malevolent AI—artificial intelligence, meet cybersecurity<br><br>Turning to the brain to reboot computing<br><br>Robots galore as Asia's biggest tech fair kicks off<br><br>Researchers say 2-D boron may be best for flexible electronics<br><br>Google gets aggressive with new phones, other gadgets<br><br>Novel method creates important industrial chemicals simply, cheaply<br><br>Futuristic Dubai dreams of hyperloop transit tubes<br><br>Method enables material to carry more electrical current without resistance at a higher temperature<br><br>Scientists discover 'supramolecule' that could help reduce nuclear, agricultural waste<br><br>Low-cost and lightweight: Strongest titanium alloy aims at improving vehicle fuel economy and reducing CO2 emissions<br><br>Germany conducting inquiry into Tesla autopilot system<br><br>Tech giants race for edge in artificial intelligence<br><br>Self-learning computer tackles problems beyond the reach of previous systems<br><br>US relies on industry help to make 'giant leap' to Mars<br><br>'Time machine' study warns of long-term dangers of ocean acidification<br><br>Spacecraft 'nuclear batteries' could get a boost from new materials<br><br>Buried glaciers on Mars<br><br>Alcator C-Mod tokamak nuclear fusion reactor sets world record on final day of operation<br><br>Observable Universe contains ten times more galaxies than previously thought<br><br>Biologists first to observe direct inheritance of gene-silencing RNA<br><br>That pilot in the cockpit may someday be a robot<br><br>First launch for Orbital's Antares rocket since 2014 explosion<br><br>Study explains strength gap between graphene, carbon fiber<br><br>NGC 5128: Mysterious cosmic objects erupting in X-rays discovered<br><br>First Pluto, now this: Discovery of first binary-binary calls solar system formation into question<br><br>Blood molecule key to more efficient batteries<br><br>Either stars are strange, or there are 234 aliens trying to contact us<br><br>3-D printing and origami techniques combined in development of self-folding medical implants<br><br>Scientists explore use of 3-D printing to speed up target production for testing material strength<br><br>Unusual quantum liquid on crystal surface could inspire future electronics<br><br>AI predicts outcomes of human rights trials<br><br>Structure of key DNA replication protein solved<br><br>IEA hikes green energy forecast after 'turning point' year<br><br>Species speed up adaptation to beat effects of warmer oceans<br><br>Dutch unveil giant vacuum to clean outside air<br><br>New analysis of big data sheds light on cell functions<br><br>Research on rare genetic disease reveals new stem cell pathway<br><br>For the first time, brain surface stimulation provides 'touch' feedback to direct movement<br><br>3-D printed metamaterial shrinks when heated<br><br>Precise quantum cloning: Possible pathway to secure communication<br><br>Startup commercializing virtual reality sickness solutions, helps move virtual reality mainstream<br><br>Electrical currents can be now be switched on and off at the smallest conceivable scale<br><br>Brazil mutant mosquitoes to breed out diseases<br><br>Enhancing the reliability of artificial intelligence<br><br>Israel firm wants super-efficient engine to power car revolution"
858,2016-10,2017,7,Robots galore as Asia's biggest tech fair kicks off<br><br>Germany conducting inquiry into Tesla autopilot system<br><br>US relies on industry help to make 'giant leap' to Mars<br><br>Spacecraft 'nuclear batteries' could get a boost from new materials<br><br>3-D printed metamaterial shrinks when heated<br><br>Brazil mutant mosquitoes to breed out diseases<br><br>Enhancing the reliability of artificial intelligence
859,2016-10,2018,2,US relies on industry help to make 'giant leap' to Mars<br><br>Spacecraft 'nuclear batteries' could get a boost from new materials
860,2016-10,2020,2,Futuristic Dubai dreams of hyperloop transit tubes<br><br>US relies on industry help to make 'giant leap' to Mars
861,2016-10,2021,1,IEA hikes green energy forecast after 'turning point' year
862,2016-10,2032,1,Alcator C-Mod tokamak nuclear fusion reactor sets world record on final day of operation
878,2016-11,1970,1,Agriculture victim of and solution to climate change
879,2016-11,1979,1,The future of nuclear energy
880,2016-11,1980,1,Climate science: Bad news gets worse
881,2016-11,1983,1,New theory of gravity might explain dark matter
882,2016-11,1984,1,"Autonomous cars—""new oil"" or ""big brother""?"
883,2016-11,1990,2,Climate science: Bad news gets worse<br><br>Four nations map course to carbon-free economies
884,2016-11,1992,1,Human groups key to preserving natural resources
885,2016-11,1993,2,Climate science: Bad news gets worse<br><br>People power: Technology allows smartphone-based water testing
886,2016-11,1999,1,New theory of gravity might explain dark matter
887,2016-11,2000,2,Where will President-elect Trump take American space endeavours?<br><br>The future of nuclear energy
888,2016-11,2002,1,The future of nuclear energy
889,2016-11,2003,2,Climate science: Bad news gets worse<br><br>Computer glitch blamed for European Mars lander crash
890,2016-11,2004,2,The future of moon mining<br><br>Engineers create prototype chip just three atoms thick
891,2016-11,2005,1,Four nations map course to carbon-free economies
892,2016-11,2006,4,Scientists develop light-driven motors to power nanorobots of the future<br><br>Toadstool footstools: Are organisms manufacturing's future?<br><br>UK 'space junk' project highlights threat to missions<br><br>California targets dairy cows to combat global warming
893,2016-11,2008,2,The future of moon mining<br><br>Engineers create prototype chip just three atoms thick
894,2016-11,2009,8,Space balloons inflating passenger flight hopes<br><br>The future of moon mining<br><br>New study explains mysterious source of greenhouse gas methane in the ocean<br><br>Four nations map course to carbon-free economies<br><br>Storing carbon dioxide underground by turning it into rock<br><br>Africa looks to solar for communities off the grid<br><br>US record high temps could outpace record lows 15 to 1 before<br><br>High renewable electricity growth continued in 2015
895,2016-11,2010,10,Energy storage project to help homes be less reliant on grid<br><br>Fujitsu leverages AI to develop highly accurate recognition technology for strings of handwritten Chinese characters<br><br>New theory of gravity might explain dark matter<br><br>Solar cells get boost with integration of water-splitting catalyst onto semiconductor<br><br>The future of moon mining<br><br>Current energy system could eat up entire carbon budget<br><br>Study finds cause of visual impairment in astronauts<br><br>The future of nuclear energy<br><br>Engineers create prototype chip just three atoms thick<br><br>Team combines quantum physics and photosynthesis to make discovery that could lead to highly efficient solar cells
896,2016-11,2011,4,Climate science: Bad news gets worse<br><br>Model predicts elimination of GMO crops would cause hike in greenhouse gas emissions<br><br>Energy storage system of tomorrow<br><br>Low-cost technology to better provide drinking water in developing countries
897,2016-11,2012,5,"Climate science: Bad news gets worse<br><br>Either stars are strange, or there are 234 aliens trying to contact us<br><br>Researchers question if banning of 'killer robots' actually will stop robots from killing<br><br>The future of moon mining<br><br>Four nations map course to carbon-free economies"
898,2016-11,2013,6,Climate science: Bad news gets worse<br><br>Toshiba advances deep learning with extremely low power neuromorphic processor<br><br>Hovering aircraft raises suspicion that it's Google co-founder's flying car<br><br>The future of moon mining<br><br>Current energy system could eat up entire carbon budget<br><br>California targets dairy cows to combat global warming
899,2016-11,2014,9,Space balloons inflating passenger flight hopes<br><br>UN climate chief: No doubt world will shift to low emissions<br><br>Accelerating cancer research with deep learning<br><br>The future of moon mining<br><br>A new standard in robotics<br><br>Judge: Hawaii counties can't regulate GMOs and pesticides<br><br>Africa looks to solar for communities off the grid<br><br>US record high temps could outpace record lows 15 to 1 before<br><br>EU set to miss 'green' budget target: watchdog
900,2016-11,2015,27,"Climate science: Bad news gets worse<br><br>GM starts producing 200-mile electric Chevrolet Bolt<br><br>Space balloons inflating passenger flight hopes<br><br>China announces plan to curb carbon emissions<br><br>UN climate chief: No doubt world will shift to low emissions<br><br>Fujitsu leverages AI to develop highly accurate recognition technology for strings of handwritten Chinese characters<br><br>Mall of America is stepping up its digital game with virtual reality, robots<br><br>People power: Technology allows smartphone-based water testing<br><br>SpaceX aims for mid-December Falcon 9 launch resumption, says Musk<br><br>Where will President-elect Trump take American space endeavours?<br><br>Toadstool footstools: Are organisms manufacturing's future?<br><br>Turning greenhouse gas into gasoline<br><br>Hollande: US must respect 'irreversible' climate deal<br><br>Britain ratifies global climate pact<br><br>A new standard in robotics<br><br>Current energy system could eat up entire carbon budget<br><br>Storing carbon dioxide underground by turning it into rock<br><br>New method helps identify antibiotics in mass spectrometry datasets<br><br>How an enhanced cap-and-trade system can help the world's top carbon emitter cut emissions and improve air quality<br><br>Volkswagen bets on new technology to bounce back from crisis<br><br>High renewable electricity growth continued in 2015<br><br>How real is the risk posed by 3-D printed guns?<br><br>Quantum physics entangled with human randomness<br><br>Human groups key to preserving natural resources<br><br>'Dronejacking' may be the next big cyber threat<br><br>'Thank the aliens': Thousands displaced for China's huge telescope<br><br>Losses of soil carbon under global warming might equal US emissions"
901,2016-11,2016,95,"Researchers find protein target to knock out herpesvirus RNA transport<br><br>Researchers find way to increase scanning speed<br><br>Scientists develop new toolkit for exploring protein biology<br><br>Scientists fabricate a new class of crystalline solid<br><br>Climate science: Bad news gets worse<br><br>Either stars are strange, or there are 234 aliens trying to contact us<br><br>GM starts producing 200-mile electric Chevrolet Bolt<br><br>'Bots' step up for 2016 election news coverage<br><br>Space balloons inflating passenger flight hopes<br><br>China announces plan to curb carbon emissions<br><br>Model predicts elimination of GMO crops would cause hike in greenhouse gas emissions<br><br>UN climate chief: No doubt world will shift to low emissions<br><br>New advance in RNA studies holds out hope for cancer drug development<br><br>Is replacing coal with natural gas actually good for the climate?<br><br>Semiconductor-free microelectronics are now possible, thanks to metamaterials<br><br>Fujitsu leverages AI to develop highly accurate recognition technology for strings of handwritten Chinese characters<br><br>New material technology to enhance energy-conversion efficiency in artificial photosynthesis<br><br>Mall of America is stepping up its digital game with virtual reality, robots<br><br>Hovering aircraft raises suspicion that it's Google co-founder's flying car<br><br>Chemists develop world's first light-seeking synthetic nanorobot for potential biomedical applications<br><br>New theory of gravity might explain dark matter<br><br>People power: Technology allows smartphone-based water testing<br><br>Engineers develop invisibility cloak for high-tech processing chips<br><br>Tritium introduced in fusion experiments at Sandia<br><br>SpaceX aims for mid-December Falcon 9 launch resumption, says Musk<br><br>Accelerating cancer research with deep learning<br><br>Computers made of genetic material? Researchers conduct electricity using DNA-based nanowires<br><br>Research prepares for a 'sharing economy' in renewable electric power<br><br>Where will President-elect Trump take American space endeavours?<br><br>Researchers discover new method to dissipate heat in electronic devices<br><br>Scientists develop light-driven motors to power nanorobots of the future<br><br>Breakthrough in the quantum transfer of information between matter and light<br><br>Crowd workers help robot keep conversation fresh<br><br>Energy storage system of tomorrow<br><br>Agriculture victim of and solution to climate change<br><br>Newly discovered genetic code controls bacterial survival during infections<br><br>Toadstool footstools: Are organisms manufacturing's future?<br><br>Researchers report new thermoelectric material with high power factors<br><br>Personalized antibiotic treatment<br><br>New biofuel cell with energy storage<br><br>Scientists fear the worst under a Trump presidency<br><br>Pie in the sky: New Zealand makes pizza drone delivery<br><br>'Conductive concrete' shields electronics from EMP attack<br><br>Climate: no country on target for world 2 degrees goal<br><br>Glow-in-the-dark dye could fuel liquid-based batteries<br><br>The future of moon mining<br><br>Britain ratifies global climate pact<br><br>New study explains mysterious source of greenhouse gas methane in the ocean<br><br>Plug-in electric vehicles—a consumer wish list<br><br>A new standard in robotics<br><br>Four nations map course to carbon-free economies<br><br>Current energy system could eat up entire carbon budget<br><br>Obama declares parts of Arctic off-limits for oil drilling<br><br>UK lawmakers approve 'most sweeping' surveillance powers<br><br>Judge: Hawaii counties can't regulate GMOs and pesticides<br><br>Best weather satellite ever built rockets into space<br><br>NuTonomy to test self-driving cars in Boston<br><br>Thermoelectric paint enables walls to convert heat into electricity<br><br>Africa looks to solar for communities off the grid<br><br>Ocean acidification study offers warnings for marine life, habitats<br><br>Sweden to scrap taxes on solar energy in 2017<br><br>US record high temps could outpace record lows 15 to 1 before<br><br>Volkswagen bets on new technology to bounce back from crisis<br><br>How to see living machines<br><br>Self-driving car group urges US regulators to clear road<br><br>Supersonic spray yields new nanomaterial for bendable, wearable electronics<br><br>Scientists develop vaccine against fatal prescription opioid overdose<br><br>Toyota says new technology means longer battery life<br><br>Computer glitch blamed for European Mars lander crash<br><br>Now we can edit life itself, we need to ask how we should use such technology<br><br>Scientists persuade nature to make silicon-carbon bonds<br><br>Finland plans to phase out coal by 2030 (Update)<br><br>Theory that challenges Einstein's physics could soon be put to the test<br><br>Single-molecule graphene switches bring minute electronic devices a step closer<br><br>'Diamond-age' of power generation as nuclear batteries developed<br><br>China risks wasting $490 bn on coal plants: campaigners<br><br>How real is the risk posed by 3-D printed guns?<br><br>Fusion reactor that employs liquid metal shower<br><br>Multi-megawatt floating system soon to be set up near Le Croisic, France<br><br>The future of nuclear energy<br><br>Flying start for world's first graphene-enhanced aircraft<br><br>Autonomoose, other self-driving cars hit Canada streets<br><br>'Programmable materials' showing future potential for industry<br><br>California targets dairy cows to combat global warming<br><br>Intel to provide computing power for Delphi autonomous cars<br><br>Quantum physics entangled with human randomness<br><br>Engineers create prototype chip just three atoms thick<br><br>Researchers load nanocarriers to deliver chemotherapy drugs and imaging molecules to tumors<br><br>Electric car factory planned in Arizona to have 2000 workers<br><br>Growing fears of IS use of weaponised drones<br><br>'Thank the aliens': Thousands displaced for China's huge telescope<br><br>Low-cost technology to better provide drinking water in developing countries<br><br>Team combines quantum physics and photosynthesis to make discovery that could lead to highly efficient solar cells<br><br>Big data analytics—Nostradamus of the 21st century<br><br>IBM unveils Watson-powered imaging solutions for healthcare providers"
902,2016-11,2017,24,"Scientists fabricate a new class of crystalline solid<br><br>Fuel from sewage is the future—and it's closer than you think<br><br>GM starts producing 200-mile electric Chevrolet Bolt<br><br>Oil and gas majors invest $1 billion in low-emission tech<br><br>Energy storage project to help homes be less reliant on grid<br><br>Mall of America is stepping up its digital game with virtual reality, robots<br><br>Hovering aircraft raises suspicion that it's Google co-founder's flying car<br><br>Wave energy device successfully deployed at BiMEP site<br><br>Where will President-elect Trump take American space endeavours?<br><br>Pie in the sky: New Zealand makes pizza drone delivery<br><br>Climate: no country on target for world 2 degrees goal<br><br>The future of moon mining<br><br>Plug-in electric vehicles—a consumer wish list<br><br>Obama declares parts of Arctic off-limits for oil drilling<br><br>UK lawmakers approve 'most sweeping' surveillance powers<br><br>Volkswagen bets on new technology to bounce back from crisis<br><br>Computer glitch blamed for European Mars lander crash<br><br>Intel to provide computing power for Delphi autonomous cars<br><br>'Dronejacking' may be the next big cyber threat<br><br>Electric car factory planned in Arizona to have 2000 workers<br><br>New mini robot sub unveiled at the National Oceanography Centre<br><br>Big data analytics—Nostradamus of the 21st century<br><br>Fusion energy—a time of transition and potential<br><br>Ohio to invest $15M on corridor for testing smart vehicles"
903,2016-11,2018,3,Fuel from sewage is the future—and it's closer than you think<br><br>Best weather satellite ever built rockets into space<br><br>Computer glitch blamed for European Mars lander crash
904,2016-11,2019,2,The future of moon mining<br><br>Intel to provide computing power for Delphi autonomous cars
905,2016-11,2020,10,"GM starts producing 200-mile electric Chevrolet Bolt<br><br>China announces plan to curb carbon emissions<br><br>Engineers develop invisibility cloak for high-tech processing chips<br><br>World's fastest quantum simulator operating at the atomic level<br><br>Autonomous cars—""new oil"" or ""big brother""?<br><br>How an enhanced cap-and-trade system can help the world's top carbon emitter cut emissions and improve air quality<br><br>EU set to miss 'green' budget target: watchdog<br><br>Computer glitch blamed for European Mars lander crash<br><br>China risks wasting $490 bn on coal plants: campaigners<br><br>Tests on oil recycled from tyres finds a cleaner diesel blend"
906,2016-11,2021,2,Space balloons inflating passenger flight hopes<br><br>Volkswagen bets on new technology to bounce back from crisis
907,2016-11,2022,3,The future of moon mining<br><br>Obama declares parts of Arctic off-limits for oil drilling<br><br>Electric car factory planned in Arizona to have 2000 workers
908,2016-11,2024,3,Space balloons inflating passenger flight hopes<br><br>The future of moon mining<br><br>California targets dairy cows to combat global warming
909,2016-11,2025,3,GM starts producing 200-mile electric Chevrolet Bolt<br><br>Four nations map course to carbon-free economies<br><br>Volkswagen bets on new technology to bounce back from crisis
910,2016-11,2030,8,Climate science: Bad news gets worse<br><br>China announces plan to curb carbon emissions<br><br>Agriculture victim of and solution to climate change<br><br>Climate: no country on target for world 2 degrees goal<br><br>Four nations map course to carbon-free economies<br><br>How an enhanced cap-and-trade system can help the world's top carbon emitter cut emissions and improve air quality<br><br>Finland plans to phase out coal by 2030 (Update)<br><br>California targets dairy cows to combat global warming
911,2016-11,2036,1,Best weather satellite ever built rockets into space
912,2016-11,2040,1,Africa looks to solar for communities off the grid
913,2016-11,2050,7,Agriculture victim of and solution to climate change<br><br>Four nations map course to carbon-free economies<br><br>How an enhanced cap-and-trade system can help the world's top carbon emitter cut emissions and improve air quality<br><br>Finland plans to phase out coal by 2030 (Update)<br><br>Some examples in Europe show that cities running their own energy company can lower the energy bill for citizens<br><br>The future of nuclear energy<br><br>Scientists tweak photosynthesis to boost crop yield
914,2016-11,2051,1,Climate science: Bad news gets worse
915,2016-11,2065,1,US record high temps could outpace record lows 15 to 1 before
922,2016-12,1975,1,Solar panels repay their energy 'debt': study
923,2016-12,1976,2,Solar panels repay their energy 'debt': study<br><br>Scientific breakthrough reveals unprecedented alternative to battery power storage
924,2016-12,1989,1,'Passengers' and the real-life science of deep space travel
925,2016-12,2003,2,"Decades of attempts show how hard it is to land on Mars – here's how we plan to succeed in 2021<br><br>China plans to land probes on far side of moon, Mars by 2020"
926,2016-12,2004,3,Physicists' work may help change future of transistors<br><br>Virgin Galactic spaceship makes first glide flight<br><br>Astronauts to get help from snake robots
927,2016-12,2005,1,"At Boeing's 777X wing factory, robots get big jobs"
928,2016-12,2006,2,UChicago startup turns renewable energy into natural gas<br><br>Researchers trace neural activity by using quantum sensors
929,2016-12,2009,2,Scientists develop 'programmable' cement particles to attain enhanced properties<br><br>Road paved with solar panels powers French town
930,2016-12,2010,1,How the brain recognizes faces: Machine-learning system spontaneously reproduces aspects of human neurology
931,2016-12,2011,2,UChicago startup turns renewable energy into natural gas<br><br>Solar panels repay their energy 'debt': study
932,2016-12,2012,2,"Europe okays 1.4 bn euros for Mars rover, ISS (Update)<br><br>Uber self-driving cars hit the streets of San Francisco"
933,2016-12,2013,2,"Astronauts to get help from snake robots<br><br>China plans to land probes on far side of moon, Mars by 2020"
934,2016-12,2014,9,"UChicago startup turns renewable energy into natural gas<br><br>Virgin Galactic spaceship makes first glide flight<br><br>At Boeing's 777X wing factory, robots get big jobs<br><br>NASA releases new eye-popping view of carbon dioxide<br><br>Artificial intelligence creeps into daily life<br><br>Swiss unveil stratospheric solar plane<br><br>Astronauts to get help from snake robots<br><br>New ultrasound technique is first to image inside live cells<br><br>Avatar-style S. Korean manned robot takes first baby steps"
935,2016-12,2015,15,"Megacities key to reaching global climate goals<br><br>Plasma-zapping process could yield trans fat-free soybean oil product<br><br>Could there be life in Pluto's ocean?<br><br>As machine learning breakthroughs abound, researchers look to democratize benefits<br><br>Physicists confirm the precision of magnetic fields in the most advanced stellarator in the world<br><br>Cars without drivers scoot around Nissan plant, towing cars<br><br>Solar panels repay their energy 'debt': study<br><br>Protein disrupts infectious biofilms<br><br>Swiss unveil stratospheric solar plane<br><br>Rice, Baylor team sets new mark for 'deep learning'<br><br>'Glue' that makes plant cell walls strong could hold the key to wooden skyscrapers<br><br>Road paved with solar panels powers French town<br><br>Scientists plan to send greetings to other worlds<br><br>How robots will change the workforce<br><br>Intel experts share insights on tech trends for 2017 and beyond"
936,2016-12,2016,54,"New ultra-high density optical storage technology<br><br>Testing robots from Monterey Bay to Europa<br><br>New police training draws from science of deadly force<br><br>How the brain recognizes faces: Machine-learning system spontaneously reproduces aspects of human neurology<br><br>Team designs new material to better store hydrogen fuel<br><br>Japanese company plans artificial meteor shower<br><br>Proposed quantum nano-MRI could generate images with angstrom-level resolution<br><br>UChicago startup turns renewable energy into natural gas<br><br>What does a driverless future look like?<br><br>Fast, efficient sperm tails inspire nanobiotechnology<br><br>One day, many ideas: Future of Mind 2016 illuminates NYC (Part 1)<br><br>Could there be life in Pluto's ocean?<br><br>First US offshore wind farm to begin production within days<br><br>Student's award-winning graphene battery could slash electric-car charging times<br><br>As machine learning breakthroughs abound, researchers look to democratize benefits<br><br>Europe okays 1.4 bn euros for Mars rover, ISS (Update)<br><br>Apple reveals autonomous vehicle ambitions<br><br>Physicists confirm the precision of magnetic fields in the most advanced stellarator in the world<br><br>Cars without drivers scoot around Nissan plant, towing cars<br><br>Quantum dots offer new platform for fingertip terahertz devices<br><br>Climate change will drive stronger, smaller storms in US<br><br>Designer switches of cell fate could streamline stem cell biology<br><br>World's first gas sensor to apply a new principle for graphene use<br><br>Humans play computer game using only direct brain stimulation<br><br>Rhode Island School of Design works with NASA on Mars suit<br><br>Solar panels repay their energy 'debt': study<br><br>Decades of attempts show how hard it is to land on Mars – here's how we plan to succeed in 2021<br><br>Photonic crystal enhanced microscope sheds light on wound healing and cancer metastasis<br><br>Scientists develop 'programmable' cement particles to attain enhanced properties<br><br>This is 'year zero' of a virtual reality revolution say filmmakers<br><br>Protein disrupts infectious biofilms<br><br>At Boeing's 777X wing factory, robots get big jobs<br><br>Autonomous shipping as a possible solution to impending labour shortages in the shipping sector<br><br>Uber self-driving cars hit the streets of San Francisco<br><br>Artificial intelligence creeps into daily life<br><br>Ford studies using drones to guide self-driving cars<br><br>Intelligence in the abyss<br><br>Swiss unveil stratospheric solar plane<br><br>Rice, Baylor team sets new mark for 'deep learning'<br><br>New graphene-based system could help us see electrical signaling in heart and nerve cells<br><br>In race to improve batteries, nanotechnology provides hope<br><br>Scientists discover new natural source of potent anti-cancer drugs<br><br>Astronauts to get help from snake robots<br><br>Transistors and diodes made from advanced semiconductor materials could perform much better than silicon<br><br>Researchers trace neural activity by using quantum sensors<br><br>'Passengers' and the real-life science of deep space travel<br><br>Electron-photon small-talk could have big impact on quantum computing<br><br>Myanmar farmers reap rewards from 3D printing<br><br>A wolverine inspired material: Self-healing, transparent, highly stretchable material can be electrically activated<br><br>Researchers use world's smallest diamonds to make wires three atoms wide (Update)<br><br>China plans to land probes on far side of moon, Mars by 2020<br><br>How robots will change the workforce<br><br>Twitter unveils 360-degree live video<br><br>Intel experts share insights on tech trends for 2017 and beyond"
937,2016-12,2017,14,"Japanese company plans artificial meteor shower<br><br>Virgin Galactic spaceship makes first glide flight<br><br>Cars without drivers scoot around Nissan plant, towing cars<br><br>Rhode Island School of Design works with NASA on Mars suit<br><br>Solar panels repay their energy 'debt': study<br><br>At Boeing's 777X wing factory, robots get big jobs<br><br>Swiss unveil stratospheric solar plane<br><br>Rice, Baylor team sets new mark for 'deep learning'<br><br>'Passengers' and the real-life science of deep space travel<br><br>Sex and marriage with robots: science fiction or new reality?<br><br>Scientists plan to send greetings to other worlds<br><br>Avatar-style S. Korean manned robot takes first baby steps<br><br>How robots will change the workforce<br><br>Intel experts share insights on tech trends for 2017 and beyond"
938,2016-12,2018,5,"Solar panels repay their energy 'debt': study<br><br>Decades of attempts show how hard it is to land on Mars – here's how we plan to succeed in 2021<br><br>At Boeing's 777X wing factory, robots get big jobs<br><br>Swiss unveil stratospheric solar plane<br><br>Scientists plan to send greetings to other worlds"
939,2016-12,2019,2,"UChicago startup turns renewable energy into natural gas<br><br>Cars without drivers scoot around Nissan plant, towing cars"
940,2016-12,2020,11,"Megacities key to reaching global climate goals<br><br>Japanese company plans artificial meteor shower<br><br>Swiss firm acquires Mars One private project<br><br>Europe okays 1.4 bn euros for Mars rover, ISS (Update)<br><br>Apple reveals autonomous vehicle ambitions<br><br>Scientists build new ultrasound device using 3-D printing technology<br><br>Decades of attempts show how hard it is to land on Mars – here's how we plan to succeed in 2021<br><br>Road paved with solar panels powers French town<br><br>China plans to land probes on far side of moon, Mars by 2020<br><br>How robots will change the workforce<br><br>Intel experts share insights on tech trends for 2017 and beyond"
941,2016-12,2021,3,"Europe okays 1.4 bn euros for Mars rover, ISS (Update)<br><br>Decades of attempts show how hard it is to land on Mars – here's how we plan to succeed in 2021<br><br>How robots will change the workforce"
942,2016-12,2022,1,"China plans to land probes on far side of moon, Mars by 2020"
943,2016-12,2023,1,"Europe okays 1.4 bn euros for Mars rover, ISS (Update)"
944,2016-12,2024,1,"Europe okays 1.4 bn euros for Mars rover, ISS (Update)"
945,2016-12,2026,2,Swiss firm acquires Mars One private project<br><br>Physicists confirm the precision of magnetic fields in the most advanced stellarator in the world
946,2016-12,2030,2,Watson-powered robot aimed at aiding elderly and caregivers<br><br>Autonomous shipping as a possible solution to impending labour shortages in the shipping sector
947,2016-12,2050,2,Megacities key to reaching global climate goals<br><br>Sex and marriage with robots: science fiction or new reality?
948,2016-12,2066,1,"At Boeing's 777X wing factory, robots get big jobs"
961,2017-01,1978,1,Physicists 'squeeze' light to cool microscopic drum below quantum limit
962,2017-01,1985,1,Climate models may underestimate future warming on tropical mountains
963,2017-01,1986,1,New 'needle-pulse' beam pattern packs a punch
964,2017-01,1988,1,UK experts warn of Trump climate science clampdown
965,2017-01,1997,2,Top poker pros face off vs. artificial intelligence<br><br>Firms push hydrogen as top green energy source
966,2017-01,2004,2,"Physicists patent detonation technique to mass-produce graphene<br><br>Water-based, biocompatible 2-D inks for printed electronics"
967,2017-01,2007,1,A commuter's dream: Entrepreneurs race to develop flying car
968,2017-01,2009,1,Top poker pros face off vs. artificial intelligence
969,2017-01,2010,1,"China to develop prototype super, super computer in 2017"
970,2017-01,2011,2,"Brief interventions help online learners persist with coursework, research finds<br><br>Beyond video games: New artificial intelligence beats tactical experts in combat simulation"
971,2017-01,2012,4,"Chance meeting leads to creation of antibiotic spider silk<br><br>Brief interventions help online learners persist with coursework, research finds<br><br>Physicists unveil new form of matter—time crystals<br><br>Beyond video games: New artificial intelligence beats tactical experts in combat simulation"
972,2017-01,2013,1,Beyond video games: New artificial intelligence beats tactical experts in combat simulation
973,2017-01,2014,2,Satellite constellations could be poised to challenge the broadband industry<br><br>Scientists create first stable semisynthetic organism
974,2017-01,2015,5,"Top poker pros face off vs. artificial intelligence<br><br>Satellite constellations could be poised to challenge the broadband industry<br><br>Brief interventions help online learners persist with coursework, research finds<br><br>Startup makes residential solar panels twice as efficient<br><br>Beyond video games: New artificial intelligence beats tactical experts in combat simulation"
975,2017-01,2016,22,"Off-switch for CRISPR-Cas9 gene editing system discovered<br><br>Scientists learn how to ramp up microbes' ability to make memories<br><br>Porous, 3-D forms of graphene developed at MIT can be 10 times as strong as steel but much lighter<br><br>Robots show their 'personality' at big tech show<br><br>Chinese humanoid robot turns on the charm in Shanghai<br><br>Top poker pros face off vs. artificial intelligence<br><br>China turns to robots as workers age<br><br>Satellite constellations could be poised to challenge the broadband industry<br><br>UK experts warn of Trump climate science clampdown<br><br>Teaching computers to recognize sick guts—machine learning and the microbiome<br><br>China to develop prototype super, super computer in 2017<br><br>Firms push hydrogen as top green energy source<br><br>Society set for head-on collision with driverless cars<br><br>NASA develops AI for future exploration of extraterrestrial subsurface oceans<br><br>Startup makes residential solar panels twice as efficient<br><br>3-D printing custom support structures for tissue implants<br><br>Brits, Czechs claim world's most powerful 'super laser'<br><br>New 'needle-pulse' beam pattern packs a punch<br><br>Intentionally or not, big brands help fund fake news<br><br>A commuter's dream: Entrepreneurs race to develop flying car<br><br>Physicists unveil new form of matter—time crystals<br><br>Beyond video games: New artificial intelligence beats tactical experts in combat simulation"
